"V1" "V2" "V3" "V4" "V5" "V6" "V7"
"1" 49.6821610344997 42.9591376881839 42.4848625679996 41.9069973206751 38.735984191276 NA NA
"2" 60.8943237618299 52.0587184214345 51.3885882536487 50.5591055977143 50.0780419219165 51.0083354471114 51.4095746715628
"3" 41.1310782090272 35.5077812127546 35.1068397729152 34.6172308030059 35.9062541008868 34.3148728192485 34.5972666801603
"4" 49.8735965351265 42.4601168171665 41.8835467171531 41.1657331543692 41.1919352961817 41.8421591386021 42.1654964911071
"5" 50.6625530009622 43.086052570916 42.4930808961483 41.7537569591978 41.9316863697309 42.9531816474782 43.2464673345654
"6" 47.8402214689992 40.6318251724027 40.0632356446105 39.3530005823599 40.1379284783458 40.5099579433096 40.7907507663052
"7" 61.2531345901327 47.1257594372207 45.3874078769296 42.8906504205269 48.7852414800655 NA NA
"8" 40.3980797837424 34.1911190885384 33.6914816072156 33.0643247016088 32.6736948426596 34.5258796742188 34.7392730725615
"9" 62.7148497822822 53.3770109504884 52.6495161796782 51.7434381352283 54.0455099653421 53.1618116448528 53.5256032267987
"10" 41.2829365654482 35.6642054653388 35.2654548285199 34.779000292157 34.9827833086103 34.7729467442338 35.0295901119187
"11" 44.84690190232 39.3171984790516 38.9629477145099 38.5394823361887 38.7277686085888 NA NA
"12" 59.8257290154848 50.6812319331724 49.949085348263 49.0312754562129 51.6762431751614 NA NA
"13" 56.1032819416984 47.9800568931624 47.3653104881992 46.6047607917823 50.0165814952048 NA NA
"14" 47.1771931165867 40.6425226832541 40.1702432428143 39.5918517393005 39.6018179808493 NA NA
"15" 62.8768435081247 69.5654288076564 69.2225079876254 68.9223338957741 51.4327363298697 NA NA
"16" 44.2779769744481 37.7492418297897 37.2457304626768 36.6200964344652 36.3161859407649 37.4772469191707 37.7383808532676
"17" 39.5511931771301 34.1885055313285 33.8094182963074 33.3473333788903 36.2909048696018 33.1763178601989 33.4331940252517
"18" 49.1106952602613 41.9141347865058 41.3626847044528 40.6785019166823 41.7829025730618 NA NA
"19" 46.7156316106652 39.8457416795854 39.3173809386722 38.6612891966911 42.0721809915927 NA NA
"20" 68.3183008561556 57.9599122943245 57.1375346221036 56.1086980783158 57.0283312877758 57.8384162505394 58.240314350941
"21" 39.867495743341 34.3144481892764 33.9107843305937 33.415808147985 33.9200984801194 33.2615578741001 33.5352044520869
"22" 56.6746594180305 48.362034641095 47.7244533093143 46.9332334917032 53.7040909021109 NA NA
"23" 51.8094062994512 44.4171211841413 43.8661516884218 43.1868325528839 44.9369205611825 NA NA
"24" 30.1738645203909 25.4364294184029 25.0463989574534 24.5541007323921 25.1593878409912 25.6428723172306 25.8129689444892
"25" 60.8997042997426 52.9158849018885 52.3708826887769 51.7113057420438 52.9784905049825 51.3012687167817 51.679472382545
"26" 54.8873964384332 42.8569043339897 41.4534331452005 39.4797882654292 44.573356433938 NA NA
"27" 62.335774593014 54.3045970185017 53.7661555222914 53.1168557079204 51.2545298202233 NA NA
"28" 37.4819987207048 32.0231468855826 31.607516888824 31.0925992581339 29.7269635854612 31.6571493037323 31.8834504075183
"29" 46.9196364202571 40.2695567040478 39.7773295592383 39.1713682994187 36.3254415576622 39.3432830722497 39.6491311906138
"30" 40.8211761226265 35.0260808137651 34.5964164562727 34.0672772919738 34.4188608058664 NA NA
"31" 40.2013063930738 34.1429118158328 33.6649507003201 33.0678967423813 34.6135086292163 34.3380746195386 34.5518580131307
"32" 76.99458313133 65.4906069148251 64.5911016087521 63.4698366849503 65.5593819281501 65.0075383890995 65.4740947227026
"33" 50.9511977581493 43.7760822629728 43.2485342465152 42.6000454933994 41.7718380553505 NA NA
"34" 58.3755768948407 49.6954467529558 49.0201329682506 48.1793187331271 52.515809425923 49.427079916431 49.7700127079855
"35" 50.7134432812761 43.6570358893755 43.1446431348454 42.5164892566027 41.365880174965 42.6734359426491 42.9920975924145
"36" 65.0948852010787 56.0629223894072 55.4089950634945 54.6078367685614 53.034601877589 NA NA
"37" 52.8132405245954 45.1951099596106 44.6208384225418 43.9109906520789 46.3182684195982 NA NA
"38" 42.6136790076752 36.8218438011202 36.4113975606904 35.9108260030687 38.4249201324175 35.9635775647628 36.2230238871107
"39" 53.6287281921948 44.8829938356441 44.1339175716109 43.1788323504401 45.1033329460234 45.9272793559083 46.203774418244
"40" 40.8820065317261 35.0758640003394 34.6451947739261 34.1147674726971 33.5165517776556 34.6692807813199 34.9053134795915
"41" 33.3872351129242 28.6052417644354 28.2474085055571 27.8058267280828 28.6847596507447 28.1908964541028 28.39308402194
"42" 52.9557563278513 45.3604781866124 44.7913096857887 44.0887047761679 47.5809625889478 44.3940210119741 44.7400802352874
"43" 46.3809996658262 39.8209714185853 39.3364613643039 38.7402853109503 38.1057635762431 NA NA
"44" 59.5117814578655 NA NA NA 48.0573700935657 NA NA
"45" 62.1444616594291 -1.59635458375618 13625101408453742592 2543.50966176735 47.4692720231977 53.5700379673226 53.8658034293145
"46" 48.489529928444 42.0441214479727 41.5977814201051 41.0560334811082 39.5304523859563 40.7324446851825 41.042678521023
"47" 71.8617675544151 55.9195976506296 54.0361599991637 51.3746296623218 55.7506218849462 NA NA
"48" 50.1983063638925 43.3587087899222 42.8727657981124 42.2797999321765 46.1217887659179 41.9084026460806 42.2506577370812
"49" 46.6796871668458 39.9159343788697 39.403678038459 38.7698168574151 38.3122041281964 39.8543859650421 40.1038774426137
"50" 51.831679190122 44.3073415980825 43.7363719614924 43.0295475766639 41.6410422185876 NA NA
"51" 70.2843625137737 59.5165538187112 58.6523765461722 57.5684285215605 55.8719878364795 NA NA
"52" 55.03719392792 NA NA NA 42.4039218700106 NA NA
"53" 48.2651247859799 41.4246039629329 40.9183006562521 40.2950162142507 39.6922599245759 41.0806954216386 41.3480521596564
"54" 72.176779771193 56.1198186511837 54.2172499151273 51.5256127787089 57.9864809418169 NA NA
"55" 56.8653787514656 48.2622562287583 47.5807810787059 46.7286827300413 47.8589019238432 NA NA
"56" 61.6399553604711 52.5339439233689 51.8302792377257 50.9555464511823 52.0054960898708 NA NA
"57" 68.1914160867243 57.8910470959914 57.0764666561938 56.0583353613198 57.5433076786665 NA NA
"58" 62.5681942201106 53.5993150510267 52.9276081476939 52.0985347990207 52.2115793205276 53.4875486309737 53.8170216377599
"59" 54.5724632589282 46.0900584480209 45.3989794957284 44.5289584234408 46.3566891614123 46.3879403075681 46.6948094313948
"60" 58.023102865758 49.7473477694086 49.1307716223204 48.3706286982289 47.4891134931696 49.2281748547374 49.5614505453619
"61" 45.2140281059293 37.9960395698135 37.3913924514754 36.624860912844 36.7005418177935 38.6224258799333 38.862667801113
"62" 49.4836001527812 38.5033380381707 37.2057908344645 35.3720210602497 39.6786705560847 NA NA
"63" 44.5033460619742 38.4017571072246 37.9654335930456 37.4322861616954 37.3289119105662 37.7438651547149 38.0005345188116
"64" 50.2052886404107 43.7821572562165 43.3546417507785 42.8398414964612 40.0656407865655 NA NA
"65" 52.2862208932692 44.4686917117452 43.8570015340642 43.0943818287351 47.7447461481907 NA NA
"66" 59.8188321849372 51.0919797893401 50.4263488043195 49.6013749419933 52.6204504593528 50.727277179744 51.0727217888802
"67" 56.9147902278815 48.8403466934125 48.2420968215748 47.5054536632588 49.0919304134053 48.1767402708573 48.5121254877128
"68" 55.9297692194895 48.3070416272807 47.7652955235884 47.1041947132978 53.3372464993445 47.2684735615995 47.6037960719562
"69" 33.1531127930639 28.5368586093619 28.2014103511605 27.7901119901823 29.7741386596565 28.2455731224669 28.4271846182623
"70" 53.1396223643519 45.030994640975 44.3829386915459 43.5708926805246 46.4992367009378 NA NA
"71" 41.0248285102376 35.226028892739 34.7980224316663 34.2714484855552 32.4469474131797 NA NA
"72" 60.2318945277574 46.7013897871663 45.0817815457231 42.7812803563873 46.1061082982516 NA NA
"73" 64.7152529336713 59.2134154100519 58.9731074088949 58.7022100366296 51.6055576564178 54.7872945438373 55.168056239582
"74" 49.0789670178795 41.7248209834806 41.1480716912553 40.4286269526739 40.3551579541142 NA NA
"75" 51.7127170496637 44.0881836775318 43.500197489843 42.7696102119531 42.2159137575625 43.6390112401622 43.9541403284084
"76" 51.4797539400919 43.9704394140587 43.3977513577832 42.6879913557192 43.5277907988954 NA NA
"77" 54.6278488437838 47.145061600975 46.6104813106476 45.9574058207144 43.1287514075569 NA NA
"78" 62.8331578525361 54.0791042177371 53.4425876994035 52.6620420058264 54.7491568201628 NA NA
"79" 54.736522264752 47.1899252104709 46.6471347015876 45.9830759339426 47.0961296452659 46.1825473587744 46.5167414382694
"80" 53.2026779443507 45.2932995113894 44.6780771585946 43.9121180149946 43.9009473581487 44.9360717627464 45.257187073113
"81" 32.2088422281387 27.5504548529519 27.1983235949246 26.7627882589474 25.5762859455673 NA NA
"82" 40.2174836199846 34.3417242273493 33.8928815685921 33.3364005513573 34.0472189489299 34.1440472753572 34.3733420105822
"83" 39.4998269127877 33.9468501021902 33.5392948253095 33.0385021592674 32.0418210594878 NA NA
"84" 71.5432664473402 61.3625889592787 60.6058984860153 59.6735110394291 62.8666101647917 59.9878518420491 60.4544492359438
"85" 64.990940357778 55.7089475392796 55.0164397953883 54.1624205541502 57.5107641366929 NA NA
"86" 60.6213803215203 51.9674459934526 51.3221060079945 50.5263403565902 51.5950951819553 51.386944479743 51.7386141582608
"87" 39.9041099540654 34.3103367119232 33.9010059974707 33.3983579299245 33.5837926844561 33.7096519658957 33.9500489438722
"88" 47.0903683170626 40.5801930553018 40.1106175455778 39.5357825005988 42.1830533028718 39.9854135700028 40.2534109533418
